
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 24.1001, H(p,q)-H0 = 0.0000005364418030, L(p,q)-L0 = 0.0000019073486328
t = 24.2001, H(p,q)-H0 = 0.0000007152557373, L(p,q)-L0 = 0.0000020265579224
t = 24.3001, H(p,q)-H0 = 0.0000006556510925, L(p,q)-L0 = 0.0000020861625671
t = 24.4001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000017285346985
t = 24.5001, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000016689300537
t = 24.6001, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = 0.0000017881393433
t = 24.7001, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = 0.0000017881393433
t = 24.8001, H(p,q)-H0 = 0.0000005960464478, L(p,q)-L0 = 0.0000020265579224
t = 24.9001, H(p,q)-H0 = 0.0000014305114746, L(p,q)-L0 = 0.0000022053718567
t = 25.0001, H(p,q)-H0 = 0.0000017881393433, L(p,q)-L0 = 0.0000022649765015
t = 25.1001, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000021457672119
t = 25.2001, H(p,q)-H0 = 0.0000011920928955, L(p,q)-L0 = 0.0000021457672119
t = 25.3001, H(p,q)-H0 = 0.0000011920928955, L(p,q)-L0 = 0.0000022053718567
t = 25.4001, H(p,q)-H0 = 0.0000010728836060, L(p,q)-L0 = 0.0000022053718567
t = 25.5001, H(p,q)-H0 = 0.0000011920928955, L(p,q)-L0 = 0.0000022649765015
t = 25.6001, H(p,q)-H0 = 0.0000015497207642, L(p,q)-L0 = 0.0000024437904358
t = 25.7001, H(p,q)-H0 = 0.0000016689300537, L(p,q)-L0 = 0.0000024437904358
t = 25.8001, H(p,q)-H0 = 0.0000022649765015, L(p,q)-L0 = 0.0000027418136597
t = 25.9001, H(p,q)-H0 = 0.0000020265579224, L(p,q)-L0 = 0.0000028014183044
t = 26.0001, H(p,q)-H0 = 0.0000017285346985, L(p,q)-L0 = 0.0000023841857910
t = 26.1001, H(p,q)-H0 = 0.0000018477439880, L(p,q)-L0 = 0.0000023245811462
t = 26.2001, H(p,q)-H0 = 0.0000016093254089, L(p,q)-L0 = 0.0000020265579224
t = 26.3001, H(p,q)-H0 = 0.0000015795230865, L(p,q)-L0 = 0.0000019073486328
t = 26.4001, H(p,q)-H0 = 0.0000015497207642, L(p,q)-L0 = 0.0000019073486328
t = 26.5001, H(p,q)-H0 = 0.0000014901161194, L(p,q)-L0 = 0.0000017881393433
t = 26.6001, H(p,q)-H0 = 0.0000018477439880, L(p,q)-L0 = 0.0000020265579224
t = 26.7001, H(p,q)-H0 = 0.0000017881393433, L(p,q)-L0 = 0.0000020861625671
t = 26.8001, H(p,q)-H0 = 0.0000021457672119, L(p,q)-L0 = 0.0000023841857910
t = 26.9001, H(p,q)-H0 = 0.0000020265579224, L(p,q)-L0 = 0.0000022649765015
